Cause Name,Discovery Calendar Year,Discovery Date (Years),Fire Size Class,Statiscal Fire Cause,Fire Number,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Month,Total Acres Burned,Fire Name
Campfire,"2,002","2,002",< 0.25 acres,4,2,43.9617,-103.3867,1,0,BOULDER HILL
Miscellaneous,"2,002","2,002",< 0.25 acres,9,3,44.06,-103.3833,1,0,SHANKS GULCH
Arson,"2,002","2,002",0.5 - 10 acres,7,2,34.7656,-93.98,1,3,STENSON
Arson,"2,002","2,002",10 - 100 acres,7,3,33.1183,-79.7669,1,11,FOUR THIRTY
Arson,"2,002","2,002",10 - 100 acres,7,4,33.1342,-79.8858,1,21,HEATLESS
Miscellaneous,"2,002","2,002",< 0.25 acres,9,1,34.3522,-111.9686,1,0,DUGAS
Campfire,"2,002","2,002",0.5 - 10 acres,4,1,31.4242,-110.3981,1,2,EUREKA
Equipment Use,"2,002","2,002",< 0.25 acres,2,1,34.6031,-118.3033,1,0,LOST
Arson,"2,002","2,002",0.5 - 10 acres,7,2,36.965,-92.9233,1,3,FLATTENED CALF
Arson,"2,002","2,002",0.5 - 10 acres,7,5,33.0667,-79.6667,1,2,WILDERNESS
Miscellaneous,"2,002","2,002",10 - 100 acres,9,2,29.1842,-81.8944,1,21,SHERRILLS MILL
Equipment Use,"2,002","2,002",0.5 - 10 acres,2,3,34.7875,-93.1181,1,0,OAK MTN.
Arson,"2,002","2,002",0.5 - 10 acres,7,4,31.9331,-92.8164,1,5,004 POND
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,6,34.8578,-83.4206,1,1,TWILIGHT
Arson,"2,002","2,002",0.5 - 10 acres,7,6,33.3336,-79.8672,1,4,BURNT HORN
Arson,"2,002","2,002",0.5 - 10 acres,7,4,34.6428,-90.6464,1,1,TERRY
Children,"2,002","2,002",< 0.25 acres,8,3,29.1753,-81.8361,1,0,LAKE BRYANT
Equipment Use,"2,002","2,002",< 0.25 acres,2,2,34.5897,-118.7064,1,0,WAGON
Arson,"2,002","2,002",0.5 - 10 acres,7,7,33.1167,-79.7833,1,1,CAR  FIRE
Campfire,"2,002","2,002",< 0.25 acres,4,104,31.3831,-110.3617,1,0,MACBEAR
Arson,"2,002","2,002",0.5 - 10 acres,7,8,34.7997,-84.2192,1,0,BRAWLEY
Arson,"2,002","2,002",0.5 - 10 acres,7,9,34.8111,-84.2019,1,5,TIPTON MTN.
Arson,"2,002","2,002",0.5 - 10 acres,7,7,34.7944,-84.2336,1,2,PERSIMMON CREEK
Children,"2,002","2,002",< 0.25 acres,8,4,29.1686,-81.8925,1,0,BREAM POND
Arson,"2,002","2,002",0.5 - 10 acres,7,10,34.7925,-84.255,1,9,FREE KNOB
Arson,"2,002","2,002",0.5 - 10 acres,7,11,34.7928,-84.2394,1,3,SHALLFORD JUNCTION
Arson,"2,002","2,002",0.5 - 10 acres,7,3,36.8561,-92.9453,1,4,STEEP WILLIE
Miscellaneous,"2,002","2,002",< 0.25 acres,9,5,29.3081,-81.6753,1,0,TAYLOR LAKE
Campfire,"2,002","2,002",< 0.25 acres,4,1,32.8931,-116.48,1,0,NOBLE
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,23,46.9222,-103.6,1,5,ELVIS
Miscellaneous,"2,002","2,002",< 0.25 acres,9,1,35.2917,-111.5667,1,0,GOVERMENT
Campfire,"2,002","2,002",10 - 100 acres,4,2,36.0067,-92.28,1,10,RACOON
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,4,43.7375,-103.5597,1,2,DEER MEADOW
Arson,"2,002","2,002",0.5 - 10 acres,7,3,38.475,-79.0783,1,1,NEWSPAPER
Arson,"2,002","2,002",< 0.25 acres,7,24,36.8878,-93.1019,1,0,CHADWICK
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,2,38.5358,-86.4783,1,1,PAOLI
Arson,"2,002","2,002",< 0.25 acres,7,36,36.1358,-82.4811,1,0,RICH MTN #1
Arson,"2,002","2,002",0.5 - 10 acres,7,38,36.125,-82.475,1,2,RICH MTN #3
Arson,"2,002","2,002",10 - 100 acres,7,37,36.1381,-82.4781,1,15,RICH MTN. #2
Miscellaneous,"2,002","2,002",< 0.25 acres,9,2,38.7675,-82.6978,1,0,PINE CREEK #2
Campfire,"2,002","2,002",< 0.25 acres,4,2,31.4469,-110.2831,1,0,QUARTZ
Arson,"2,002","2,002",< 0.25 acres,7,3,34.3628,-118.3936,1,0,SANTA CLARA
Arson,"2,002","2,002",< 0.25 acres,7,1,37.1514,-83.5839,1,0,CHICKEN BARN
Arson,"2,002","2,002",< 0.25 acres,7,2,37.135,-83.5847,1,0,TOE
Arson,"2,002","2,002",0.5 - 10 acres,7,2,31.0756,-89.1036,1,2,SAND PILE
Arson,"2,002","2,002",100 - 300 acres,7,1,31.085,-89.0967,1,146,HOUND
Children,"2,002","2,002",< 0.25 acres,8,12,34.8483,-83.3881,1,0,DEERFIELD
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,1,38.65,-82.5503,1,1,FIVE FORKS #1
Arson,"2,002","2,002",0.5 - 10 acres,7,5,31.5256,-92.4539,1,2,005 HUGART ROAD
Arson,"2,002","2,002",0.5 - 10 acres,7,3,31.0861,-89.0783,1,2,WRONG WAY
Miscellaneous,"2,002","2,002",< 0.25 acres,9,13,34.5333,-83.3667,1,0,CURRAHEE MTN.
Campfire,"2,002","2,002",< 0.25 acres,4,4,34.3792,-117.7603,1,0,CEDAR
Equipment Use,"2,002","2,002",< 0.25 acres,2,1,38.1875,-86.6375,1,0,INDIAN LAKE FIRE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,7,28.9681,-81.6364,1,5,ALTOONA
Arson,"2,002","2,002",0.5 - 10 acres,7,27,36.7044,-92.7814,1,3,NO NAME
Arson,"2,002","2,002",0.5 - 10 acres,7,25,36.7925,-92.7231,1,5,SNOWKILL
Equipment Use,"2,002","2,002",< 0.25 acres,2,9,29.1211,-81.7028,1,0,BOMBING RANGE 2
Equipment Use,"2,002","2,002",< 0.25 acres,2,8,29.1167,-81.685,1,0,BOMBING RANGE 1
Arson,"2,002","2,002",0.5 - 10 acres,7,26,36.7767,-92.7269,1,2,CORBITT POTTER
Equipment Use,"2,002","2,002",< 0.25 acres,2,10,29.1211,-81.7028,1,0,BOMBING RANGE 3
Miscellaneous,"2,002","2,002",< 0.25 acres,9,2,34.4272,-112.4547,1,0,KENDALL
Campfire,"2,002","2,002",< 0.25 acres,4,1,36.7669,-119.0856,1,0,HIGHLANDS
Campfire,"2,002","2,002",0.5 - 10 acres,4,11,29.0478,-81.5567,1,1,STARKE
Campfire,"2,002","2,002",< 0.25 acres,4,3,34.6036,-112.6064,1,0,DILLON
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,6,29.1933,-82.3017,1,1,SHARPS FERRY
Arson,"2,002","2,002",< 0.25 acres,7,2,32.79,-116.6608,1,0,LANE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,5,43.745,-103.5467,1,1,HAZELRODT
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,2,35.2583,-111.6583,1,1,SCHULTZ
Arson,"2,002","2,002",< 0.25 acres,7,5,34.5156,-118.0322,1,0,BARREL
Campfire,"2,002","2,002",< 0.25 acres,4,1,33.8556,-111.4569,1,0,BUSHNELL
Miscellaneous,"2,002","2,002",< 0.25 acres,9,3,31.4283,-111.02,1,0,CARALAMPI
Arson,"2,002","2,002",0.5 - 10 acres,7,8,33.0333,-79.6167,1,6,ST. JAMES
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,2,34.25,-117.125,1,2,HOOK
Campfire,"2,002","2,002",100 - 300 acres,4,3,33.6681,-117.5081,1,100,HOLY
Miscellaneous,"2,002","2,002",< 0.25 acres,9,2,34.3139,-111.0447,1,0,POWERLINE
Miscellaneous,"2,002","2,002",< 0.25 acres,9,4,34.2431,-117.3031,1,0,VENUS
Miscellaneous,"2,002","2,002",< 0.25 acres,9,3,34.2431,-117.3031,1,0,MERCURY
Campfire,"2,002","2,002",< 0.25 acres,4,1,44.4925,-121.6556,1,0,15
Campfire,"2,002","2,002",0.5 - 10 acres,4,3,34.4303,-111.4925,1,3,STRAWBERRY
Miscellaneous,"2,002","2,002",10 - 100 acres,9,1,40.6756,-104.4503,1,56,RICHOCHET
Arson,"2,002","2,002",< 0.25 acres,7,4,33.6194,-111.6044,1,0,SANDY
Miscellaneous,"2,002","2,002",< 0.25 acres,9,6,34.3417,-118.0944,1,0,JEEP
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,3,38.2342,-86.6567,1,1,UNIONTOWN FIRE
Railroad,"2,002","2,002",10 - 100 acres,6,23,43.7025,-105.36,1,40,RAILROAD 44.3
Miscellaneous,"2,002","2,002",< 0.25 acres,9,7,34.4383,-118.2714,1,0,MOBILE
Campfire,"2,002","2,002",< 0.25 acres,4,1,34.3522,-110.5889,1,0,PARTY
Campfire,"2,002","2,002",< 0.25 acres,4,1,33.3633,-105.6708,1,0,CHAMPIONSHIP
Debris Burning,"2,002","2,002",< 0.25 acres,5,1,35.2583,-111.9403,1,0,EXIT
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,4,38.4167,-86.45,1,1,CABIN FIRE
Arson,"2,002","2,002",0.5 - 10 acres,7,4,34.8156,-94.6817,1,1,OIL PAD
Arson,"2,002","2,002",0.5 - 10 acres,7,5,34.8519,-94.8889,1,5,MUD HOLE
Arson,"2,002","2,002",0.5 - 10 acres,7,6,34.8661,-94.8822,1,4,ROBERTSON HOLLOW
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,3,35.7839,-93.1017,1,3,SAIN
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,9,33.2667,-79.9333,1,7,FIRST
Miscellaneous,"2,002","2,002",< 0.25 acres,9,55,35.0908,-84.5289,1,0,WINDSHIELD
Miscellaneous,"2,002","2,002",< 0.25 acres,9,3,38.7689,-82.6978,1,0,PINE CREEK #2
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,28,36.8217,-92.0931,1,3,ANNE HOLLOW
Miscellaneous,"2,002","2,002",< 0.25 acres,9,2,39.7003,-105.7583,1,0,SUGAR SHACK
Arson,"2,002","2,002",0.5 - 10 acres,7,3,36.8842,-84.3347,1,1,KATE
Campfire,"2,002","2,002",< 0.25 acres,4,4,32.8411,-116.6267,1,0,ICE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,2,36.005,-81.635,1,1,BOONE FORK ROAD
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,3,31.1072,-95.0725,1,2,JEAN
Debris Burning,"2,002","2,002",10 - 100 acres,5,25,36.2061,-82.0219,1,17,DOLAN
Arson,"2,002","2,002",0.5 - 10 acres,7,6,31.8803,-92.8664,1,5,006 BLUNDELL
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,39,36.0306,-82.5472,1,5,LITTLE BRANCH ROAD
Equipment Use,"2,002","2,002",10 - 100 acres,2,4,31.1317,-89.1583,1,94,RANGE 43
Railroad,"2,002","2,002",< 0.25 acres,6,1,33.1833,-81.7167,1,0,LITTLE
Campfire,"2,002","2,002",< 0.25 acres,4,1,42.7575,-103,2,0,SPOTTED TAIL
Arson,"2,002","2,002",10 - 100 acres,7,11,33.2014,-79.8672,2,49,FAT BOY
Arson,"2,002","2,002",0.5 - 10 acres,7,12,33.2167,-79.85,2,3,SCOOTER
Arson,"2,002","2,002",10 - 100 acres,7,10,33.1833,-79.9003,2,70,BAD TIMING
Arson,"2,002","2,002",10 - 100 acres,7,4,38.4467,-79.145,2,47,DOUBLE SET
Arson,"2,002","2,002",10 - 100 acres,7,13,33.1667,-79.7833,2,34,MIDIAN
Railroad,"2,002","2,002",< 0.25 acres,6,2,35.3197,-112.4403,2,0,CEDAR
Smoking,"2,002","2,002",0.5 - 10 acres,3,4,34.2322,-112.3033,2,2,MICA
Miscellaneous,"2,002","2,002",< 0.25 acres,9,8,34.3347,-118.3472,2,0,VAN
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,76,30.1517,-85.0889,2,5,FALCON
Arson,"2,002","2,002",10 - 100 acres,7,15,33,-79.7833,2,20,CLASSIC
Miscellaneous,"2,002","2,002",10 - 100 acres,9,14,34.6631,-83.7969,2,57,DOUBLE HEAD
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,3,35.9633,-81.6133,2,2,ROBEY MARTIN
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,17,33.9333,-82.1,2,2,AIRPORT
Miscellaneous,"2,002","2,002",10 - 100 acres,9,14,34.7842,-83.1856,2,10,CASSIDY BRIDGE
Miscellaneous,"2,002","2,002",10 - 100 acres,9,16,34.7842,-83.1856,2,10,CASSIDY BRIDGE
Arson,"2,002","2,002",100 - 300 acres,7,18,33.0672,-79.6681,2,278,DANTE
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,15,34.5858,-84.0358,2,1,WHISSENHUNT
Arson,"2,002","2,002",0.5 - 10 acres,7,19,33.0833,-79.7667,2,4,GASKIN
Miscellaneous,"2,002","2,002",< 0.25 acres,9,5,33.7328,-116.7328,2,0,MARION
Campfire,"2,002","2,002",< 0.25 acres,4,1,40.4667,-123.15,2,0,DOBBINS
Debris Burning,"2,002","2,002",10 - 100 acres,5,7,44.625,-104.4689,2,36,LAME JONES
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,3,35.2933,-111.5117,2,1,DUMP
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,12,29.1583,-81.5386,2,1,ASTOR 91
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,1,38.8094,-119.7761,2,3,ALPINE
Campfire,"2,002","2,002",0.5 - 10 acres,4,6,43.8617,-103.3667,2,4,OAK MEADOWS
Equipment Use,"2,002","2,002",100 - 300 acres,2,4,31.5039,-110.4828,2,156,LYLE
Miscellaneous,"2,002","2,002",< 0.25 acres,9,9,34.2208,-117.8586,2,0,DODGE
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,4,35.125,-111.6931,2,0,PINE
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,5,34.3183,-111.0511,2,3,TONTO
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,4,38.6328,-82.7139,2,8,PRICKLY ASH
Miscellaneous,"2,002","2,002",< 0.25 acres,9,6,34.2431,-117.4081,2,0,MAIS
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,5,38.1275,-86.6592,2,2,APRICOT ROAD FIRE
Debris Burning,"2,002","2,002",10 - 100 acres,5,7,31.1503,-92.6478,2,10,007 SMOKE SCREEN
Arson,"2,002","2,002",0.5 - 10 acres,7,16,34.7314,-84.7164,2,8,PEOPLES LAKE
Equipment Use,"2,002","2,002",< 0.25 acres,2,6,32.7678,-116.7122,2,0,LONELY
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,4,37.5072,-91.1389,2,4,BILLS CREEK
Miscellaneous,"2,002","2,002","1,000 - 5,000 acres",9,7,33.8642,-117.6658,2,"2,400",GREEN
Debris Burning,"2,002","2,002",< 0.25 acres,5,8,32.8114,-116.6408,2,0,BELL BLUFF
Campfire,"2,002","2,002",0.5 - 10 acres,4,5,34.6003,-90.6022,2,0,CASTEWAY
Campfire,"2,002","2,002",10 - 100 acres,4,5,31.7403,-110.8933,2,15,ELEPHANT HEAD
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,9,32.8208,-116.7678,2,1,PALO VERDE
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,6,38.6792,-82.6083,2,7,CANNON'S CREEK #1
Miscellaneous,"2,002","2,002",10 - 100 acres,9,6,40.7211,-104.4758,2,80,BAKER DRAW
Miscellaneous,"2,002","2,002",< 0.25 acres,9,5,38.6292,-82.6639,2,0,PEDRO
Miscellaneous,"2,002","2,002",< 0.25 acres,9,7,34.2681,-116.7842,2,0,VALE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,7,30.7389,-88.9444,2,2,BEATRICE POST OFFICE
Equipment Use,"2,002","2,002",< 0.25 acres,2,10,32.8217,-116.6033,2,0,79
Arson,"2,002","2,002",0.5 - 10 acres,7,2,35.8392,-121.3853,2,3,HIGHWAY 1
Campfire,"2,002","2,002",0.5 - 10 acres,4,4,33.3483,-97.5989,2,1,CAMPFIRE
Arson,"2,002","2,002",0.5 - 10 acres,7,1,33.9267,-85.5003,2,6,WILLIAMS
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,5,37.8261,-91.0889,2,2,Y HIGHWAY
Equipment Use,"2,002","2,002",< 0.25 acres,2,10,34.715,-118.7989,2,0,SMOKEY
Campfire,"2,002","2,002",0.5 - 10 acres,4,6,31.3942,-111.1036,2,0,THUMB
Arson,"2,002","2,002",0.5 - 10 acres,7,6,37.8475,-90.9136,2,6,GILLIAM
Smoking,"2,002","2,002",100 - 300 acres,3,13,30.365,-84.29,2,120,TRINITY
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,5,37.7467,-80.2433,2,8,ALLEGHANY
Equipment Use,"2,002","2,002",100 - 300 acres,2,4,35.1617,-83.5483,2,175,CAMP BRANCH
Arson,"2,002","2,002",0.5 - 10 acres,7,20,32.985,-79.8022,2,2,ROADSIDE
Miscellaneous,"2,002","2,002",< 0.25 acres,9,14,38.5644,-78.6592,2,0,PITT
Children,"2,002","2,002",0.5 - 10 acres,8,5,35.34,-83.785,2,1,MOUNTAIN CREEK
Miscellaneous,"2,002","2,002",< 0.25 acres,9,7,34.7533,-94.0467,2,0,YEARLING RIDGE
Arson,"2,002","2,002",< 0.25 acres,7,6,33.6467,-111.55,2,0,ROMO
Arson,"2,002","2,002",10 - 100 acres,7,6,34.7147,-77.0497,2,17,PETTIFORD CREEK
Equipment Use,"2,002","2,002",< 0.25 acres,2,8,34.1961,-117.1828,2,0,EAST
Arson,"2,002","2,002",10 - 100 acres,7,4,37.7289,-83.9333,2,20,CHESTNUT STAND
Arson,"2,002","2,002",0.5 - 10 acres,7,17,34.8506,-84.1222,2,9,CHICKEN HOUSE #2
Arson,"2,002","2,002",< 0.25 acres,7,9,34.2189,-117.2836,2,0,SKYLAND
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,7,37.4758,-91.2022,2,8,LITTLE VINE CHURCH
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,6,38.09,-86.6183,2,1,BRAW FIRE
Arson,"2,002","2,002",10 - 100 acres,7,21,33.3167,-79.8503,2,39,CUPID
Arson,"2,002","2,002",0.5 - 10 acres,7,19,36.8389,-84.4083,2,2,CUPID
Arson,"2,002","2,002",< 0.25 acres,7,7,32.2739,-110.6267,2,0,FEATHERS
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,26,36.5828,-81.9631,2,2,WYATT HOLLOW
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,2,33.6167,-85.7067,2,3,INTERSTATE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,16,30.4194,-84.5258,2,1,POLK
Arson,"2,002","2,002",0.5 - 10 acres,7,1,37.4586,-88.2333,2,1,TOWER ROCK BOAT LNCH
Arson,"2,002","2,002",< 0.25 acres,7,2,37.4667,-88.2375,2,0,TOWER ROCK ROAD
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,8,38.3033,-86.5967,2,1,GOVERNORS TRACE FIRE
Arson,"2,002","2,002",10 - 100 acres,7,7,38.675,-86.4,2,30,LIBERTY FIRE
Arson,"2,002","2,002",0.5 - 10 acres,7,7,38.6519,-82.5328,2,5,AARON'S CREEK #1
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,7,34.3589,-111.4169,2,1,PIT
Miscellaneous,"2,002","2,002",< 0.25 acres,9,5,34.4567,-112.5189,2,0,COPPER
Arson,"2,002","2,002",0.5 - 10 acres,7,29,36.9506,-92.9189,2,7,PETER
Debris Burning,"2,002","2,002",< 0.25 acres,5,9,37.9833,-86.6375,2,0,DEER CREEK FIRE
Miscellaneous,"2,002","2,002",< 0.25 acres,9,1,37.1364,-119.4125,2,0,AUBERRY
Arson,"2,002","2,002",10 - 100 acres,7,56,35.1875,-84.3019,2,20,BRUSHY CREEK
Arson,"2,002","2,002",100 - 300 acres,7,8,31.6311,-92.5625,2,220,008 MIDWAY
Campfire,"2,002","2,002",0.5 - 10 acres,4,14,30.2833,-82.3633,2,1,SLEEPER
Children,"2,002","2,002",< 0.25 acres,8,10,38.6317,-86.5556,2,0,ORANGEVILLE FIRE
Debris Burning,"2,002","2,002",< 0.25 acres,5,31,36.7628,-92.7147,2,0,D HWY
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,30,36.7689,-92.7194,2,2,JIM DANCY
Arson,"2,002","2,002",10 - 100 acres,7,8,30.7689,-88.8892,2,12,BURNT CHICKEN
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,5,32.1667,-89.3533,2,1,DANTAN MAY
Miscellaneous,"2,002","2,002",10 - 100 acres,9,3,37.5489,-89.3956,2,15,MORGAN
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,19,34.8317,-83.545,2,2,HOLLYFIELD
Arson,"2,002","2,002",0.5 - 10 acres,7,11,34.4297,-118.3567,2,2,CAPRA
Debris Burning,"2,002","2,002",10 - 100 acres,5,8,35.3136,-83.0747,2,30,ABBS CREEK
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,7,35.415,-83.8517,2,3,BROOM HANDLE
Miscellaneous,"2,002","2,002","300 - 1,000 acres",9,2,33.2833,-81.4667,2,300,SNELLING
Campfire,"2,002","2,002",< 0.25 acres,4,12,38.6492,-86.5969,2,0,SHIRLEY CREEK
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,11,38.3464,-86.4286,2,5,MULZERS FIRE
Smoking,"2,002","2,002",< 0.25 acres,3,1,38.1967,-80.0978,2,0,MONDAY LICK GATE
Campfire,"2,002","2,002",10 - 100 acres,4,6,36.6358,-81.6167,2,25,WHITETOP MOUNTAIN
Miscellaneous,"2,002","2,002",< 0.25 acres,9,8,33.5761,-111.5197,2,0,KEYHOLE
Arson,"2,002","2,002",0.5 - 10 acres,7,19,36.6678,-90.8731,2,2,FLOAT CAMP
Arson,"2,002","2,002",0.5 - 10 acres,7,15,36.9167,-91.1278,2,1,DRY VALLEY
Arson,"2,002","2,002",0.5 - 10 acres,7,9,37.4931,-91.04,2,4,OLIVER
Arson,"2,002","2,002",10 - 100 acres,7,5,36.9519,-84.5525,2,40,DEEP HOLLOW
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,16,37.0261,-91.3069,2,5,JUNK PILE
Arson,"2,002","2,002",10 - 100 acres,7,3,33.6017,-85.6178,2,30,ROACH
Campfire,"2,002","2,002",< 0.25 acres,4,18,33.2833,-83.7833,2,0,CONCORD
Arson,"2,002","2,002",< 0.25 acres,7,12,34.3017,-118.2553,2,0,STOLEN
Arson,"2,002","2,002",0.5 - 10 acres,7,4,33.3525,-85.9775,2,2,2-HOUR
Arson,"2,002","2,002",0.5 - 10 acres,7,18,36.9611,-91.3511,2,7,HORSE TROUGH
Arson,"2,002","2,002",0.5 - 10 acres,7,17,36.9642,-91.3475,2,7,TRAM HOLLOW 2
Arson,"2,002","2,002",10 - 100 acres,7,12,30.9917,-93.0333,2,70,012 GOINS WELL
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,20,33.3167,-83.3833,2,3,HAY
Arson,"2,002","2,002",10 - 100 acres,7,6,32.4567,-89.6083,2,54,TWIN OAKS
Arson,"2,002","2,002",100 - 300 acres,7,6,33.7842,-85.4833,2,215,CONFLICT
Arson,"2,002","2,002",10 - 100 acres,7,5,33.8667,-85.5422,2,25,500K
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,40,37.6164,-90.9308,2,2,OTTERY CREEK
Arson,"2,002","2,002",0.5 - 10 acres,7,57,35.1875,-84.3019,2,1,BRUSHY CREEK
Equipment Use,"2,002","2,002",100 - 300 acres,2,5,33.3275,-97.5958,2,132,MCMURRAY
Arson,"2,002","2,002","300 - 1,000 acres",7,11,31.0083,-86.7833,2,320,PRESIDENT DAY
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,25,34.7025,-83.2022,2,1,ROCKY FORK
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,9,31.1033,-86.455,2,9,CATFISH
Arson,"2,002","2,002",100 - 300 acres,7,10,31.0039,-93.0103,2,109,010 ENDURO
Campfire,"2,002","2,002",< 0.25 acres,4,11,32.7142,-116.5869,2,0,CORNER
Arson,"2,002","2,002",0.5 - 10 acres,7,9,31.0533,-92.5767,2,2,009 BREEZY HILL ROAD
Debris Burning,"2,002","2,002",10 - 100 acres,5,9,31.0883,-88.8517,2,31,PUNCH
Debris Burning,"2,002","2,002",100 - 300 acres,5,17,30.215,-82.3883,2,100,REBEL HORSE
Miscellaneous,"2,002","2,002",< 0.25 acres,9,1,41.2514,-105.3336,2,0,SNOW
Miscellaneous,"2,002","2,002",10 - 100 acres,9,24,34.5833,-81.4667,2,40,HERBERT RD POWERLINE
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,7,33.5067,-85.8722,2,6,SERMON
Arson,"2,002","2,002",10 - 100 acres,7,8,37.4058,-84.1592,2,18,POWELL
